=== ss snapshots started at 2025-10-02T15:17:50Z ===
Command: ss -tan state time-wait
Interval: 10s


--- 2025-10-02T15:17:50Z ---
Recv-Q Send-Q Local Address:Port  Peer Address:Port Process
0      0          10.42.0.1:54930  10.42.0.245:8181        
0      0          10.42.0.1:40358  10.42.0.244:10254       
0      0          10.42.0.1:59094  10.42.0.244:10254       
0      0          10.42.0.1:45868  10.42.0.250:10250       
0      0          10.42.0.1:59946  10.42.0.246:7472        
0      0          10.42.0.1:34994  10.42.0.246:7472        
0      0          10.42.0.1:55358  10.42.0.248:8080        
=== ss snapshots started at 2025-10-02T15:40:18Z ===
Command: ss -tan state time-wait
Interval: 10s


--- 2025-10-02T15:40:18Z ---
Recv-Q Send-Q Local Address:Port  Peer Address:Port Process
0      0          10.42.0.1:48276  10.42.0.248:8080        
0      0          10.42.0.1:47706  10.42.0.245:8181        
0      0          10.42.0.1:44870  10.42.0.248:8080        
0      0          10.42.0.1:58764  10.42.0.250:10250       
0      0          10.42.0.1:54556  10.42.0.248:8080        
0      0          10.42.0.1:56606  10.42.0.245:8181        
0      0          10.42.0.1:38726  10.42.0.245:8181        
0      0          10.42.0.1:35526  10.42.0.244:10254       
0      0          10.42.0.1:42120  10.42.0.248:8080        
0      0          10.42.0.1:59864  10.42.0.245:8181        
0      0          10.42.0.1:49830  10.42.0.246:7472        
0      0          10.42.0.1:56608  10.42.0.245:8181        
=== ss snapshots started at 2025-10-02T15:42:11Z ===
Command: ss -tan state time-wait
Interval: 10s


--- 2025-10-02T15:42:11Z ---
Recv-Q Send-Q Local Address:Port  Peer Address:Port Process
0      0          10.42.0.1:56782  10.42.0.245:8181        
0      0          10.42.0.1:34320  10.42.0.244:10254       
0      0          10.42.0.1:59716  10.42.0.246:7472        
0      0          10.42.0.1:56776  10.42.0.248:8080        
0      0          10.42.0.1:56798  10.42.0.245:8181        
0      0          10.42.0.1:46450  10.42.0.248:8080        
0      0          10.42.0.1:32790  10.42.0.246:7472        
0      0          10.42.0.1:56172  10.42.0.244:10254       
0      0          10.42.0.1:46458  10.42.0.248:8080        
0      0          10.42.0.1:56776  10.42.0.245:8181        
0      0          10.42.0.1:57406  10.42.0.246:7472        

--- 2025-10-02T15:42:21Z ---
Recv-Q Send-Q  Local Address:Port    Peer Address:Port Process
0      0      142.93.239.222:35716 142.93.239.222:443         
0      0      142.93.239.222:35400 142.93.239.222:443         
0      0      142.93.239.222:37210 142.93.239.222:443         
0      0      142.93.239.222:33480 142.93.239.222:443         
0      0      142.93.239.222:36434 142.93.239.222:443         
0      0      142.93.239.222:38096 142.93.239.222:443         
0      0      142.93.239.222:38040 142.93.239.222:443         
0      0      142.93.239.222:36890 142.93.239.222:443         
0      0      142.93.239.222:39324 142.93.239.222:443         
0      0      142.93.239.222:33810 142.93.239.222:443         
0      0      142.93.239.222:37046 142.93.239.222:443         
0      0      142.93.239.222:38922 142.93.239.222:443         
0      0      142.93.239.222:36776 142.93.239.222:443         
0      0      142.93.239.222:37202 142.93.239.222:443         
0      0      142.93.239.222:33568 142.93.239.222:443         
0      0      142.93.239.222:35628 142.93.239.222:443         
0      0      142.93.239.222:33348 142.93.239.222:443         
0      0      142.93.239.222:35502 142.93.239.222:443         
0      0      142.93.239.222:35530 142.93.239.222:443         
0      0      142.93.239.222:33612 142.93.239.222:443         
0      0      142.93.239.222:35340 142.93.239.222:443         
0      0      142.93.239.222:35840 142.93.239.222:443         
0      0      142.93.239.222:34666 142.93.239.222:443         
0      0      142.93.239.222:36914 142.93.239.222:443         
0      0      142.93.239.222:38976 142.93.239.222:443         
0      0      142.93.239.222:38908 142.93.239.222:443         
0      0      142.93.239.222:35076 142.93.239.222:443         
0      0      142.93.239.222:34724 142.93.239.222:443         
0      0      142.93.239.222:35436 142.93.239.222:443         
0      0      142.93.239.222:35894 142.93.239.222:443         
0      0      142.93.239.222:38984 142.93.239.222:443         
0      0      142.93.239.222:34068 142.93.239.222:443         
0      0      142.93.239.222:36368 142.93.239.222:443         
0      0      142.93.239.222:39912 142.93.239.222:443         
0      0      142.93.239.222:33814 142.93.239.222:443         
0      0      142.93.239.222:35616 142.93.239.222:443         
0      0      142.93.239.222:35548 142.93.239.222:443         
0      0      142.93.239.222:36772 142.93.239.222:443         
0      0      142.93.239.222:38054 142.93.239.222:443         
0      0      142.93.239.222:33884 142.93.239.222:443         
0      0      142.93.239.222:36312 142.93.239.222:443         
0      0      142.93.239.222:37024 142.93.239.222:443         
0      0      142.93.239.222:33442 142.93.239.222:443         
0      0      142.93.239.222:35486 142.93.239.222:443         
